Carrot Quality,Carrot SLO,Our Quality,Our SLO,IRT-Router Quality,IRT-Router SLO
0.62014,0.52463,0.58085,0.99941,0.622268908,0.651632047
0.62722,0.51691,0.58157,0.99941,0.625719424,0.63620178
0.6352,0.49258,0.58291,0.99881,0.627817746,0.629080119
0.6432,0.48071,0.58392,0.99881,0.633013781,0.610682493
0.653,0.46588,0.59086,0.99169,0.637028161,0.592284866
0.65729,0.44688,0.60612,0.96142,0.640827338,0.568545994
0.66915,0.43442,0.63325,0.88605,0.655428914,0.543026706
0.67325,0.43739,0.65228,0.75549,0.670383693,0.509198813
0.67762,0.44273,0.67421,0.62018,0.679144225,0.480118694
0.68368,0.44332,0.68135,0.52522,0.682904192,0.459940653
0.68665,0.45935,0.68665,0.45935,0.686646707,0.459347181